formation,holding,quantile,residualize,spread_mult,rebalance_every,tier,n_periods,avg_names,gross_sharpe,net_sharpe,gross_mean_bps,net_mean_bps,gross_ann_return,net_ann_return,avg_turnover,avg_cost_bps,mean_ic,net_max_drawdown,hit_rate
3,6,0.2,demean,0.5,6,T3_illiquid,1243,38.921962992759454,2.9080916081335793,-1.4614258972588239,21.229837184836654,-10.660938114985049,0.7748890572465379,-0.38912424119695427,1.6039510378346562,31.890775299821698,-0.07104318427370142,-0.7546989338235988,0.4682220434432824
3,6,0.2,none,0.5,6,T1_liquid,1243,39.17135961383749,0.07092578844236705,-1.9822842534511782,0.5686491910926881,-15.905456642074524,0.020755695474883117,-0.5805491674357202,1.5290952410698508,16.474105833167215,-0.01912435716768792,-0.8816167654739515,0.4585679806918745
3,6,0.2,none,0.5,6,T2_mid,1243,39.02654867256637,1.5959068788700044,-1.185518812690263,12.39259556100919,-9.20419102266386,0.4523297379768354,-0.33595297232723087,1.5673442965901063,21.596786583673047,-0.04179703008645556,-0.7287581503528455,0.48431214802896216
3,6,0.2,none,0.5,6,T3_illiquid,1243,38.921962992759454,2.9080916081335793,-1.4614258972588239,21.229837184836654,-10.660938114985049,0.7748890572465379,-0.38912424119695427,1.6039510378346562,31.890775299821698,-0.07104318427370142,-0.7546989338235988,0.4682220434432824
3,6,0.3,demean,0.5,6,T1_liquid,1243,59.05872888173773,0.04521324256126636,-2.3538822636080283,0.2796451666805736,-14.568212587453319,0.010207048583840937,-0.5317397594420461,1.3776228807084827,14.847857754133893,-0.01912435716768792,-0.8499297657097025,0.45293644408688655
3,6,0.3,demean,0.5,6,T2_mid,1243,58.730490748189865,1.143120632761588,-2.0961196343627213,6.859521440153411,-12.579413589003535,0.2503725325655995,-0.459148595998629,1.4088089552173706,19.438935029156948,-0.04179703008645556,-0.802780870098698,0.4505229283990346
3,6,0.3,demean,0.5,6,T3_illiquid,1243,58.511665325824616,2.5492477340803625,-2.3774725631774234,14.701624235623653,-13.69763720626366,0.5366092846002632,-0.4999637580286236,1.42767689127981,28.39926144188731,-0.07104318427370142,-0.8253233942367695,0.4344328238133548
3,6,0.3,none,0.5,6,T1_liquid,1243,59.05872888173773,0.04521324256126636,-2.3538822636080283,0.2796451666805736,-14.568212587453319,0.010207048583840937,-0.5317397594420461,1.3776228807084827,14.847857754133893,-0.01912435716768792,-0.8499297657097025,0.45293644408688655
3,6,0.3,none,0.5,6,T2_mid,1243,58.730490748189865,1.143120632761588,-2.0961196343627213,6.859521440153411,-12.579413589003535,0.2503725325655995,-0.459148595998629,1.4088089552173706,19.438935029156948,-0.04179703008645556,-0.802780870098698,0.4505229283990346
3,6,0.3,none,0.5,6,T3_illiquid,1243,58.511665325824616,2.5492477340803625,-2.3774725631774234,14.701624235623653,-13.69763720626366,0.5366092846002632,-0.4999637580286236,1.42767689127981,28.39926144188731,-0.07104318427370142,-0.8253233942367695,0.4344328238133548
3,12,0.1,demean,0.5,12,T1_liquid,622,19.04823151125402,-0.14591816734753216,-0.9633938039292109,-3.2736046083512202,-21.60709774191469,-0.05974328410240977,-0.39432953378994307,1.7007676094894748,18.33349313356347,-0.010301116558981062,-0.8106894937257877,0.4855305466237942
3,12,0.1,demean,0.5,12,T2_mid,622,18.990353697749196,1.0519120920784784,-0.09514728274547102,22.214860614082937,-2.009455344944637,0.4054212062070136,-0.03667256004523962,1.7602172969938243,24.224315959027575,-0.029347274554698762,-0.4839053039996899,0.5096463022508039
3,12,0.1,demean,0.5,12,T3_illiquid,622,18.94855305466238,1.7156513163186122,0.06530242073091506,36.61228992488906,1.394304612706602,0.6681742911292254,0.02544605918189549,1.7815164158813677,35.21798531218245,-0.054052997940791915,-0.5059909511542331,0.4919614147909968
